[08:09:11] [warning] Core: [Renderer]: Selected Physical Device has: 179 extensions...
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_16bit_storage
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_8bit_storage
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_bind_memory2
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_buffer_device_address
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_calibrated_timestamps
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_copy_commands2
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_create_renderpass2
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_dedicated_allocation
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_depth_stencil_resolve
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_descriptor_update_template
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_device_group
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_draw_indirect_count
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_driver_properties
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_dynamic_rendering
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_dynamic_rendering_local_read
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_external_fence
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_external_fence_win32
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_external_memory
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_external_memory_win32
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_external_semaphore
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_external_semaphore_win32
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_format_feature_flags2
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_get_memory_requirements2
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_global_priority
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_image_format_list
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_imageless_framebuffer
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_index_type_uint8
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_line_rasterization
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_load_store_op_none
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_maintenance1
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_maintenance2
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_maintenance3
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_maintenance4
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_maintenance5
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_maintenance6
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_map_memory2
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_multiview
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_pipeline_executable_properties
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_pipeline_library
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_present_id
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_present_wait
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_push_descriptor
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_relaxed_block_layout
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_sampler_mirror_clamp_to_edge
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_sampler_ycbcr_conversion
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_separate_depth_stencil_layouts
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_shader_atomic_int64
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_shader_clock
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_shader_draw_parameters
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_shader_expect_assume
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_shader_float16_int8
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_shader_float_controls
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_shader_float_controls2
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_shader_integer_dot_product
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_shader_non_semantic_info
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_shader_quad_control
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_shader_subgroup_extended_types
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_shader_subgroup_rotate
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_shader_terminate_invocation
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_spirv_1_4
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_storage_buffer_storage_class
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_swapchain
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_swapchain_mutable_format
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_synchronization2
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_timeline_semaphore
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_uniform_buffer_standard_layout
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_variable_pointers
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_vertex_attribute_divisor
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_vulkan_memory_model
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_win32_keyed_mutex
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_workgroup_memory_explicit_layout
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_zero_initialize_workgroup_memory
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_4444_formats
